小区名,区县,地址,楼层高度,建造年限
绿地城上海滩花园(三期),#NAME?,顺庆火车北站潆华北路,低层(共26层),2016年建造
博雅豪庭,,顺庆白土坝潆华南路二段158号,低层(共25层),2017年建造
滨江首座(顺庆),,顺庆滨江大道滨江中路一段407号,低层(共32层),2013年建造
马电花园,,顺庆市政新区滨江北路二段72号,低层(共6层),2013年建造
中南世纪城,,顺庆滨江大道清澜路二段1号,中层(共6层),2019年建造
马电花园,,顺庆市政新区滨江北路二段72号,低层(共6层),2014年建造
春风玫瑰园,,顺庆市政新区万年西路93号,中层(共11层),2019年建造
龙吟华城,,顺庆金鱼岭龙吟路33号,低层(共6层),2008年建造
北星街建行宿舍,,顺庆火车站北星街39号,中层(共7层),2006年建造
蓝光COCO香江,,顺庆清泉坝饮泉路36号,高层(共33层),2019年建造
北岭颐园(北区),,顺庆白土坝潆华南路2段68号,中层(共6层),2015年建造
嘉航苑,,顺庆北干道大安街63号,低层(共6层),2005年建造
蓝光COCO香江二期,,顺庆清泉坝清池路19号,中层(共30层),2019年建造
佳美小区,,顺庆金鱼岭金鱼岭正街9号,中层(共7层),2008年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,低层(共27层),2020年建造
梧桐苑,,顺庆市公安局玉秀路30号,中层(共6层),2015年建造
和锦名苑,,顺庆市政新区清泉寺南路31号,低层(共18层),2016年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,低层(共24层),2019年建造
钰岭锦城,,顺庆市政新区潆康东路15号,低层(共21层),2015年建造
辉宇都市泊岸,,顺庆潆溪潆康南路316号,低层(共6层),2009年建造
佳兆业君临,,顺庆白土坝凤鸣路18号,高层(共25层),2017年建造
绿地城上海滩花园(一区),,顺庆火车北站潆华北路一段,中层(共26层),2018年建造
英伦城邦,,顺庆白土坝白土坝路288号,高层(共32层),2015年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,中层(共33层),2019年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,低层(共11层),2019年建造
清泉小区东区,,顺庆市政新区清风北路二段28号,低层(共6层),2015年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,低层(共11层),2020年建造
颐和嘉园西区,,顺庆市政新区三元路19号,中层(共6层),2012年建造
绿地城上海滩花园(三期),,顺庆火车北站潆华北路,高层(共25层),2016年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,高层(共27层),2016年建造
恒大绿洲,,顺庆恒大绿洲府荆大道南段26号,高层(共32层),2016年建造
科兴印月湾,,顺庆潆溪高新大道一段202号,,
塞维利亚,,顺庆市政新区清泉寺北路23号,中层(共10层),2014年建造
北岭颐园(北区),,顺庆白土坝潆华南路2段68号,中层(共6层),2016年建造
北岭颐园(北区),,顺庆白土坝潆华南路2段68号,高层(共6层),2016年建造
中梁壹号院,,顺庆清泉坝澄泉路19号,高层(共33层),2020年建造
北星街建行宿舍,,顺庆火车站北星街39号,中层(共8层),2006年建造
北岭颐园(北区),,顺庆白土坝潆华南路2段68号,高层(共6层),2016年建造
市委机关生活区,,顺庆北湖公园北湖路118号,高层(共7层),2000年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,高层(共30层),2020年建造
石油新城东二区,,顺庆市政新区镇江东路二段17号,低层(共11层),2011年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,低层(共27层),2020年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共29层),2018年建造
恒大绿洲,,顺庆恒大绿洲府荆大道南段26号,高层(共32层),2015年建造
coco香江三期,,顺庆清泉坝清嘉路,高层(共37层),2016年建造
coco香江三期,,顺庆清泉坝清嘉路,高层(共37层),2017年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,高层(共30层),2020年建造
和锦名苑,,顺庆市政新区清泉寺南路31号,中层(共33层),2013年建造
海润滨江,,顺庆滨江大道滨江中路一段,中层(共31层),2015年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,低层(共29层),2020年建造
恒大中航城(二期),,顺庆清泉坝澄泉路,中层(共27层),2020年建造
蓝光雍锦半岛,,顺庆清泉坝澄泉路159号,高层(共31层),2020年建造
