小区名,地址,建造年限,,,,,
高庐御品江城,仪陇 - 德龙广场 - 滨江大道北二段39号,2015年竣工,,,,,
金源帝都,仪陇 - 德龙广场 - 春晖路二段2号,2019年竣工,,,,,
锦绣花园北区(仪陇),仪陇 - 德龙广场 - 锦绣路,2018年竣工,,,,,
远达金松湖畔,仪陇 - 德龙广场 - 云水路四段6号,2020年竣工,,,,,
龙城壹号,仪陇 - 德龙广场 - 宏德大道东三段1号,2016年竣工,,,,,
德龙广场,仪陇 - 德龙广场 - 琳琅大道一段63号,2008年竣工,,,,,
格林小镇,仪陇 - 德龙广场 - 金鱼街,2010年竣工,,,,,
恒益滨江国际,仪陇 - 德龙广场 - 滨江大道,2018年竣工,,,,,
优筑紫御府,仪陇 - 德龙广场 - 云水路三段52号,2020年竣工,,,,,
友助东方花园,仪陇 - 德龙广场 - 仁和街33号,2014年竣工,,,,,
帝景花园,仪陇 - 德龙广场 - 新南路四段63号,2009年竣工,,,,,
滨江名都,仪陇 - 德龙广场 - 滨江大道七段85号,2013年竣工,,,,,
江与城(仪陇县),仪陇 - 德龙广场 - 新南路,2015年竣工,,,,,
铭恒壹号公馆,仪陇 - 德龙广场 - 紫光街66号,2008年竣工,,,,,
首座,"仪陇 - 德龙广场 - 金鱼街,近春晖路",2006年竣工,,,,,
壹品江山(B区),仪陇 - 德龙广场 - 康宁街,2013年竣工,,,,,
领秀江山,仪陇 - 德龙广场 - 嘉欣路一段88号,2015年竣工,,,,,
陶然居(仪陇),仪陇 - 德龙广场 - 松海路,2013年竣工,,,,,
科达小区A区,仪陇 - 德龙广场 - 学府路146号,2005年竣工,,,,,
新苑香江公馆,仪陇 - 德龙广场 - 滨江大道九段,2012年竣工,,,,,
大东一安置区,仪陇 - 德龙广场 - 宏德大道,无,,,,,
锦绣尚郡,仪陇 - 仪陇周边 - 建设北路,无,,,,,
吉地景苑,仪陇 - 仪陇周边 - 瓦子乡街道77号,无,,,,,
雅园茗居,仪陇 - 德龙广场 - 丝绸路162号附1号,无,,,,,
新南社区一安置区,仪陇 - 德龙广场 - 永丰路70号,无,,,,,
南海人家,仪陇 - 仪陇周边 - 南海路25号,无,,,,,
西寺街285号小区,仪陇 - 仪陇周边 - 西寺街285号,无,,,,,
峰景豪庭,仪陇 - 仪陇周边 - 环山路100号,无,,,,,
滨河新城(南区),仪陇 - 德龙广场 - 锦绣路,无,,,,,
永丰路70号小区,仪陇 - 德龙广场 - 永丰路70号,无,,,,,
六一安置区,仪陇 - 德龙广场 - 望云路185号,无,,,,,
胜达花园,仪陇 - 德龙广场 - 宏德大道,2013年竣工,,,,,
万合小区,仪陇 - 德龙广场 - 锦绣路,2005年竣工,,,,,
嘉陵东路33号院,仪陇 - 德龙广场 - 嘉陵东路33号,2005年竣工,,,,,
领地印象,仪陇 - 德龙广场 - 仁德街,2015年竣工,,,,,
六一三安置区,仪陇 - 德龙广场 - 仁和街五段221号,2015年竣工,,,,,
仁和安置区二区,仪陇 - 德龙广场 - 仁德街44号附7号,2015年竣工,,,,,
阳光苑,仪陇 - 德龙广场 - 商贸南街56号,2008年竣工,,,,,
兆祥小区,仪陇 - 德龙广场 - 宏德大道,2005年竣工,,,,,
东南四安置区,仪陇 - 德龙广场 - 幸福路170号,2013年竣工,,,,,
朝阳金都,仪陇 - 德龙广场 - 商贸南街,2013年竣工,,,,,
兴安路2号院,仪陇 - 仪陇周边 - 兴安路2号,2005年竣工,,,,,
四季花园(仪陇),仪陇 - 仪陇周边 - 鞍山路10号,2013年竣工,,,,,
林家桥安置区,仪陇 - 德龙广场 - 人民路466号,2014年竣工,,,,,
科达小区B区,仪陇 - 德龙广场 - 两宫路,2005年竣工,,,,,
学府小区(仪陇),仪陇 - 德龙广场 - 两宫路100号,2005年竣工,,,,,
金泉丽景,仪陇 - 德龙广场 - 滨江大道,2014年竣工,,,,,
两宫路小区,仪陇 - 德龙广场 - 两宫路,2005年竣工,,,,,
杏林小区(仪陇),仪陇 - 德龙广场 - 两宫路31号,2018年竣工,,,,,
