小区名,地址,楼层高度,建造年限
博雅豪庭,顺庆白土坝潆华南路二段158号,,东南
绿地城上海滩花园(三期),顺庆火车北站潆华北路,,南
春风玫瑰园,顺庆市政新区万年西路93号,,南北
市委机关生活区,顺庆北湖公园北湖路118号,,南
嘉航苑,顺庆北干道大安街63号,,南
恒大中航城(二期),顺庆清泉坝澄泉路,,东
佳兆业君临,顺庆白土坝凤鸣路18号,,南北
滨江首座(顺庆),顺庆滨江大道滨江中路一段407号,,南
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,,南北
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
英伦城邦,顺庆白土坝白土坝路288号,,南
绿地城上海滩花园(三期),顺庆火车北站潆华北路,,南北
恒大中航城(二期),顺庆清泉坝澄泉路,,东
恒大中航城(二期),顺庆清泉坝澄泉路,,东
蓝光COCO香江二期,顺庆清泉坝清池路19号,,东北
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
梧桐苑,顺庆市公安局玉秀路30号,,南北
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
和锦名苑,顺庆市政新区清泉寺南路31号,,南北
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,东
马电花园,顺庆市政新区滨江北路二段72号,,南北
马电花园,顺庆市政新区滨江北路二段72号,,南北
塞维利亚,顺庆市政新区清泉寺北路23号,,南
北岭颐园(北区),顺庆白土坝潆华南路2段68号,,东南
龙吟华城,顺庆金鱼岭龙吟路33号,,东南
佳美小区,顺庆金鱼岭金鱼岭正街9号,,南北
coco香江三期,顺庆清泉坝清嘉路,,东
coco香江三期,顺庆清泉坝清嘉路,,南
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,南
和锦名苑,顺庆市政新区清泉寺南路31号,,南
钰岭锦城,顺庆市政新区潆康东路15号,,东
辉宇都市泊岸,顺庆潆溪潆康南路316号,,南北
科兴印月湾,顺庆潆溪高新大道一段202号,,南
蓝光COCO香江,顺庆清泉坝饮泉路36号,,东南
北星街建行宿舍,顺庆火车站北星街39号,,南
北岭颐园(北区),顺庆白土坝潆华南路2段68号,,南
中南世纪城,顺庆滨江大道清澜路二段1号,,东南
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,东南
中梁壹号院,顺庆清泉坝澄泉路19号,,东
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,东南
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,,东南
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,,南
北岭颐园(北区),顺庆白土坝潆华南路2段68号,,东南
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,南
北岭颐园(北区),顺庆白土坝潆华南路2段68号,,南北
清泉小区东区,顺庆市政新区清风北路二段28号,,南北
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,东
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,东
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,南
海润滨江,顺庆滨江大道滨江中路一段,,东南
北星街建行宿舍,顺庆火车站北星街39号,,南
石油新城东二区,顺庆市政新区镇江东路二段17号,,南
颐和嘉园西区,顺庆市政新区三元路19号,,南北
梧桐苑,顺庆市公安局玉秀路30号,,南
鸿通文德中央大境,顺庆市公安局潆华中路二段,,东南
塞维利亚,顺庆市政新区清泉寺北路23号,,南
尚水佳苑,顺庆市政新区规划八路,,南
尚水佳苑,顺庆市政新区规划八路,,南
绸厂上院宿舍,顺庆火车站延安路,,南北
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,南
英伦城邦,顺庆白土坝白土坝路288号,,南
印象森林,顺庆市政新区环都大道一段59号,,东南
天府明珠,顺庆市政新区滨江北路三段56号,,东南
鸿升凯旋城,顺庆滨江大道滨江北路一段,,东南
绿地城上海滩花园(三期),顺庆火车北站潆华北路,,南
春风玫瑰园,顺庆市政新区万年西路93号,,南
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南北
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南北
金树湾,顺庆市政新区镇江西路二段133号,,南北
印象森林,顺庆市政新区环都大道一段59号,,南
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
滨江首座(顺庆),顺庆滨江大道滨江中路一段407号,,南
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,,南北
中南世纪城,顺庆滨江大道清澜路二段1号,,东南
蓝光COCO香江,顺庆清泉坝饮泉路36号,,东南
凌凯春天,顺庆市政新区茂源北路173号,,西南
香槟小城(二区),顺庆火车站伍家坡街76号,,南北
欧香小镇,顺庆白土坝潆华中路二段429号,,南
锦上花苑,顺庆市政新区清泉寺南路3号,,南北
蓝光COCO香江二期,顺庆清泉坝清池路19号,,南北
马电花园,顺庆市政新区滨江北路二段72号,,东南
蓝光COCO香江,顺庆清泉坝饮泉路36号,,南
绿地城上海滩花园(三期),顺庆火车北站潆华北路,,南
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,,南
蓝光COCO香江,顺庆清泉坝饮泉路36号,,东
海润滨江,顺庆滨江大道滨江中路一段,,南北
恒大中航城(二期),顺庆清泉坝澄泉路,,南
江与城(顺庆),顺庆市政新区清泉寺北路12号,,东
鸿通春天花城,顺庆华凤站前大道一段6号,,南
南充恒大中航城,顺庆清泉坝清嘉路168号,,南
仁和春天花园,顺庆华凤潆华南路一段53号,,南北
南充公馆,顺庆市政新区万年东路36号,,南
尚品观邸,顺庆市政新区镇江西路36号,,东
江与城(顺庆),顺庆市政新区清泉寺北路12号,,东南
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南北
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南
泰合青年城,顺庆滨江大道胜利路,,南北
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,,南
鸿通南充院子,顺庆华凤佳华路219号,,东南
泰合尚渡,顺庆金鱼岭滨江中路一段97号,,南
印象森林,顺庆市政新区环都大道一段59号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
中南世纪城,顺庆滨江大道清澜路二段1号,,南
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南北
欧香小镇,顺庆白土坝潆华中路二段429号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,南
锦上花苑,顺庆市政新区清泉寺南路3号,,南北
锦绣华庭(顺庆区),顺庆白土坝华亭路26号,,南
南充恒大中航城,顺庆清泉坝清嘉路168号,,南
恒大中航城(二期),顺庆清泉坝澄泉路,,东南
金鸿城三期归谷,顺庆华凤锦程路327号,,东
金色愿景东苑,顺庆市政新区清风北路一段58号,,南
欧香小镇,顺庆白土坝潆华中路二段429号,,东南
江与城(顺庆),顺庆市政新区清泉寺北路12号,,东
中南世纪城,顺庆滨江大道清澜路二段1号,,南
中南世纪城,顺庆滨江大道清澜路二段1号,,东南
中南世纪城,顺庆滨江大道清澜路二段1号,,东南
蓝光COCO香江二期,顺庆清泉坝清池路19号,,东南
海润滨江,顺庆滨江大道滨江中路一段,,东南
海润滨江,顺庆滨江大道滨江中路一段,,南北
金色愿景,顺庆市政新区环都大道二段17号,,南
尚水佳苑,顺庆市政新区规划八路,,南北
绿地城上海滩花园(三期),顺庆火车北站潆华北路,,南北
泰合尚渡,顺庆金鱼岭滨江中路一段97号,,南北
南充恒大中航城,顺庆清泉坝清嘉路168号,,东南
印象森林,顺庆市政新区环都大道一段59号,,南北
恒大绿洲,顺庆恒大绿洲府荆大道南段26号,,南
滨江学府,顺庆火车站滨江北路一段,,南北
天府明珠,顺庆市政新区滨江北路三段56号,,南北
美宇凤凰城,顺庆市政新区四海街81号,,东南
中南世纪城,顺庆滨江大道清澜路二段1号,,东南
尚品观邸,顺庆市政新区镇江西路36号,,南
南充恒大中航城,顺庆清泉坝清嘉路168号,,南北
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南北
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南北
江与城(顺庆),顺庆市政新区清泉寺北路12号,,南北
宏宇心悦国际,顺庆市政新区玉秀路11号,,东
泰合青年城,顺庆滨江大道胜利路,,南北
绿地城上海滩花园(三期),顺庆火车北站潆华北路,,东南
中南世纪城,顺庆滨江大道清澜路二段1号,,南北
蓝光雍锦半岛,顺庆清泉坝澄泉路159号,,南
泰合尚渡,顺庆金鱼岭滨江中路一段97号,,南北
绿地城上海滩花园(三期),顺庆火车北站潆华北路,,南
锦上花苑,顺庆市政新区清泉寺南路3号,,南
绿地城上海滩花园(一区),顺庆火车北站潆华北路一段,,西北
春风玫瑰园,顺庆市政新区万年西路93号,,西北
蓝光COCO香江,顺庆清泉坝饮泉路36号,,东
博雅豪庭,顺庆白土坝潆华南路二段158号,,南
铁投锦华府,顺庆华凤锦程路108号,,南
凌凯春天,顺庆市政新区茂源北路173号,,东南
蓝光COCO香江,顺庆清泉坝饮泉路36号,,东南
