小区名,地址,建造年限
水慕清華,嘉陵广场,4室2厅 | 258.45平米 | 东南 | 毛坯 | 3层  | 暂无数据 | 联排别墅
舒巢一品,嘉陵广场,3室1厅 | 89.92平米 | 东南 | 其他 | 高楼层(共18层)  | 塔楼
舒巢一品,嘉陵广场,3室2厅 | 100.25平米 | 东南 | 精装 | 低楼层(共12层)  | 塔楼
香槟尚城,嘉陵广场,3室2厅 | 101.51平米 | 南 | 其他 | 中楼层(共6层)  | 板楼
梧桐山庄,南湖,5室2厅 | 148.24平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据
国鑫凤垭山,南湖,3室2厅 | 129平米 | 东 | 毛坯 | 高楼层(共6层)  | 塔楼
舒巢一品,嘉陵广场,3室2厅 | 101平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼
蓝光香江国际二期四区,西山风景区,4室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共30层)  | 塔楼
格林悦城,嘉陵广场,3室2厅 | 93.63平米 | 南 | 精装 | 高楼层(共6层)  | 板楼
碧桂园,文峰,3室2厅 | 101平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼
南山府邸,文峰,2室2厅 | 88.08平米 | 东 东南 | 毛坯 | 高楼层(共23层)  | 塔楼
碧桂园,文峰,3室2厅 | 105平米 | 南 | 其他 | 高楼层(共32层)  | 塔楼
蓝光香江国际二期四区,西山风景区,3室2厅 | 95.36平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼
嘉州玫瑰花园,嘉陵广场,2室2厅 | 70.36平米 | 东北 | 精装 | 高楼层(共18层)  | 塔楼
王府花园,嘉陵广场,2室1厅 | 70.23平米 | 东南 | 精装 | 低楼层(共16层)  | 塔楼
锦通·满庭芳,西山风景区,3室2厅 | 102平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼
南山府邸,文峰,3室2厅 | 118平米 | 东南 | 毛坯 | 中楼层(共26层)  | 塔楼
南山府邸,文峰,3室2厅 | 117平米 | 东南 | 毛坯 | 低楼层(共26层)  | 塔楼
碧桂园,文峰,3室2厅 | 106平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼
香洲郡,嘉陵广场,3室2厅 | 109平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼
南山府邸,文峰,3室2厅 | 118平米 | 东南 南 | 毛坯 | 高楼层(共26层)  | 塔楼
鸿华城,南湖,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼
鸿华城,南湖,3室2厅 | 86.7平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼
阳光御府,南湖,3室2厅 | 100.51平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼
萬豐花園,嘉陵广场,3室2厅 | 109.61平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据
长兴居,嘉陵广场,3室2厅 | 107平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合
时代天骄一区,南湖,3室1厅 | 89.11平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼
阳光西山秘境,西山风景区,3室2厅 | 82平米 | 西南 | 精装 | 低楼层(共25层)  | 塔楼
蓝光香江国际二期六区,西山风景区,4室2厅 | 116.24平米 | 西南 | 毛坯 | 中楼层(共20层)  | 塔楼
蓝光香江国际二期三区,西山风景区,3室2厅 | 96平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合
南山府邸,文峰,4室2厅 | 141平米 | 东南 南 | 毛坯 | 低楼层(共10层)  | 塔楼
希望城一区,南湖,3室2厅 | 86.52平米 | 东南 | 精装 | 高楼层(共30层)  | 塔楼
地中海蓝,嘉陵广场,1室1厅 | 50平米 | 东南 | 其他 | 中楼层(共18层)  | 板塔结合
嘉南国际,嘉陵广场,3室2厅 | 105平米 | 东南 | 精装 | 中楼层(共16层)  | 塔楼
逸水兰庭,嘉陵广场,3室2厅 | 86平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼
南山府邸,文峰,3室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共25层)  | 塔楼
阳光美地,南湖,3室1厅 | 90.92平米 | 南 | 其他 | 高楼层(共16层)  | 塔楼
丽晶府,嘉陵广场,4室2厅 | 94平米 | 东南 | 其他 | 高楼层(共32层)  | 塔楼
阳光·白马城,白马湖,3室2厅 | 84.06平米 | 东 | 精装 | 高楼层(共27层)  | 塔楼
碧桂园,文峰,3室2厅 | 101平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼
华雅财富城,嘉陵广场,3室2厅 | 96平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼
南门壹号,西山风景区,3室1厅 | 93.04平米 | 东南 东 南 | 精装 | 低楼层(共33层)  | 塔楼
南山府邸,文峰,3室1厅 | 118平米 | 西南 | 其他 | 高楼层(共26层)  | 塔楼
锦通·满庭芳,西山风景区,3室2厅 | 84.49平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼
奥斯汀小镇,嘉陵广场,3室2厅 | 94平米 | 东南 | 其他 | 高楼层(共6层)  | 塔楼
阳光白马城二区,白马湖,3室2厅 | 92平米 | 东南 | 其他 | 低楼层(共6层)  | 塔楼
蓝光香江国际二期,西山风景区,3室2厅 | 98平米 | 南 | 其他 | 低楼层(共26层)  | 塔楼
嘉陵区粮食局小区,嘉陵广场,3室2厅 | 129平米 | 东 | 简装 | 低楼层(共7层)  | 暂无数据
希望城一区,南湖,3室2厅 | 95平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼
蓝光香江国际二期三区,西山风景区,3室2厅 | 104.79平米 | 东南 | 毛坯 | 中楼层(共29层)  | 板塔结合
碧桂园,文峰,3室2厅 | 105.8平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼
蓝光香江国际二期四区,西山风景区,4室2厅 | 107平米 | 东南 | 其他 | 中楼层(共30层)  | 塔楼
碧桂园,文峰,2室2厅 | 87平米 | 东南 | 精装 | 低楼层(共32层)  | 塔楼
南山府邸,文峰,2室1厅 | 59.34平米 | 东 | 精装 | 低楼层(共25层)  | 塔楼
南山府邸,文峰,2室2厅 | 90.6平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼
金山大厦,嘉陵广场,2室2厅 | 85.28平米 | 南 | 精装 | 高楼层(共24层)  | 板塔结合
逸水兰庭,嘉陵广场,2室1厅 | 85平米 | 南 | 简装 | 中楼层(共15层)  | 塔楼
香槟尚城,嘉陵广场,3室2厅 | 83平米 | 东 南 | 精装 | 高楼层(共6层)  | 板楼
南湖凯旋广场,南湖,2室1厅 | 71平米 | 东 | 其他 | 低楼层(共26层)  | 塔楼
南充恒大城,南湖,3室1厅 | 101.36平米 | 东南 | 精装 | 高楼层(共30层)  | 塔楼
塞纳印象,嘉陵广场,3室2厅 | 103平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼
九洲名苑,嘉陵广场,2室2厅 | 82平米 | 东南 | 精装 | 高楼层(共27层)  | 塔楼
公园大地,南湖,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合
地中海蓝,嘉陵广场,3室2厅 | 136平米 | 东南 | 简装 | 中楼层(共4层)  | 板楼
小桥子小区,白马湖,2室2厅 | 76平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据
芳菲苑,嘉陵广场,5室2厅 | 213平米 | 东南 | 精装 | 低楼层(共8层)  | 板楼
碧桂园,文峰,3室1厅 | 105.05平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼
碧桂园,文峰,3室2厅 | 127平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼
嘉禾苑,嘉陵广场,3室2厅 | 119.91平米 | 南 | 简装 | 中楼层(共6层)  | 板楼
三合小区,西山风景区,3室2厅 | 92.2平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼
南山府邸,文峰,3室2厅 | 115平米 | 西南 | 毛坯 | 高楼层(共18层)  | 塔楼
南门壹号,西山风景区,4室2厅 | 125平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼
阳光西山秘境,西山风景区,3室2厅 | 83平米 | 东南 | 简装 | 高楼层(共27层)  | 塔楼
泽森园,西山风景区,4室3厅 | 155.92平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼
香洲郡,嘉陵广场,4室2厅 | 135.54平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼
阳光·白马城,白马湖,4室2厅 | 93.84平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼
泽森园,西山风景区,3室2厅 | 155.92平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼
奥斯汀小镇,嘉陵广场,3室2厅 | 136.18平米 | 东南 | 毛坯 | 中楼层(共5层)  | 塔楼
南充市嘉陵区财政局,嘉陵广场,2室2厅 | 105.24平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据
嘉洲阳光,嘉陵广场,1室1厅 | 42.7平米 | 西 东南 | 精装 | 高楼层(共17层)  | 塔楼
南湖凯旋广场,南湖,3室2厅 | 92.4平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼
